name,capital,region,population,flag,difficulty,population_distractors
Saint Martin,Marigot,Americas,38659,🇲🇫,hard,"['Monaco', 'British Virgin Islands', 'Gibraltar', 'Marshall Islands', 'Liechtenstein']"
Saint Pierre and Miquelon,Saint-Pierre,Americas,5819,🇵🇲,hard,"['Montserrat', 'Saint Barthélemy', 'Falkland Islands', 'Svalbard and Jan Mayen', 'Norfolk Island']"
Saint Vincent and the Grenadines,Kingstown,Americas,110872,🇻🇨,hard,"['Aruba', 'Grenada', 'Antigua and Barbuda', 'Jersey', 'Seychelles']"
Samoa,Apia,Oceania,205557,🇼🇸,hard,"['São Tomé and Príncipe', 'Mayotte', 'Saint Lucia', 'Abkhazia', 'Guam']"
San Marino,City of San Marino,Europe,34172,🇸🇲,hard,"['Caribbean Netherlands', 'Marshall Islands', 'Åland Islands', 'Gibraltar', 'British Virgin Islands']"
Saudi Arabia,Riyadh,Asia,33702731,🇸🇦,easy,"['Peru', 'Malaysia', 'Yemen', 'Mozambique', 'Afghanistan']"
Senegal,Dakar,Africa,18847519,🇸🇳,easy,"['Romania', 'Guatemala', 'Chad', 'Somalia', 'Chile']"
Serbia,Belgrade,Europe,6532019,🇷🇸,medium,"['Paraguay', 'Bulgaria', 'Nicaragua', 'Laos', 'Congo']"
Seychelles,Victoria,Africa,121355,🇸🇨,hard,"['Grenada', 'Saint Vincent and the Grenadines', 'Aruba', 'Antigua and Barbuda', 'Kiribati']"
Sierra Leone,Freetown,Africa,8460512,🇸🇱,medium,"['Belarus', 'Switzerland', 'Austria', 'Hong Kong', 'Hungary']"
Singapore,Singapore,Asia,6110200,🇸🇬,medium,"['El Salvador', 'Somaliland', 'Denmark', 'Congo', 'Bulgaria']"
Sint Maarten,Philipsburg,Americas,58477,🇸🇽,hard,"['Greenland', 'South Ossetia', 'Faroe Islands', 'Saint Kitts and Nevis', 'Saint Helena, Ascension and Tristan da Cunha']"
Slovakia,Bratislava,Europe,5405368,🇸🇰,medium,"['Liberia', 'Lebanon', 'Mauritania', 'Palestine', 'Oman']"
Slovenia,Ljubljana,Europe,2135107,🇸🇮,medium,"['Lesotho', 'Guinea-Bissau', 'Botswana', 'Moldova', 'Gabon']"
Solomon Islands,Honiara,Oceania,828857,🇸🇧,medium,"['Réunion', 'Cyprus', 'Fiji', 'Bhutan', 'Comoros']"
Somalia,Mogadishu,Africa,19280850,🇸🇴,easy,"['Chad', 'Romania', 'Chile', 'Senegal', 'Guatemala']"
Somaliland,Hargeisa,Africa,6200000,,medium,"['Congo', 'Singapore', 'El Salvador', 'Denmark', 'Bulgaria']"
South Africa,Pretoria,Africa,63015904,🇿🇦,easy,"['Thailand', 'United Kingdom', 'Italy', 'Tanzania', 'France']"
South Georgia,King Edward Point,Antarctic,32,🇬🇸,hard,"['Pitcairn Islands', 'Bouvet Island', 'Heard Island and McDonald Islands', 'United States Minor Outlying Islands', 'French Southern and Antarctic Lands']"
South Korea,Seoul,Asia,51106229,🇰🇷,easy,"['Sudan', 'Spain', 'Colombia', 'Kenya', 'Algeria']"
South Ossetia,Tskhinvali,Asia,56520,,hard,"['Faroe Islands', 'Greenland', 'Sint Maarten', 'Saint Kitts and Nevis', 'Saint Helena, Ascension and Tristan da Cunha']"
South Sudan,Juba,Africa,12703714,🇸🇸,easy,"['Tunisia', 'Belgium', 'Papua New Guinea', 'Benin', 'Dominican Republic']"
Spain,Madrid,Europe,49687120,🇪🇸,easy,"['South Korea', 'Sudan', 'Algeria', 'Argentina', 'Colombia']"
Sri Lanka,Sri Jayawardenepura Kotte,Asia,21756000,🇱🇰,easy,"['Malawi', 'Burkina Faso', 'Kazakhstan', 'Zambia', 'Taiwan']"
Sudan,Khartoum,Africa,51767437,🇸🇩,easy,"['South Korea', 'Colombia', 'Kenya', 'Spain', 'Myanmar']"
Suriname,Paramaribo,Americas,632638,🇸🇷,hard,"['Montenegro', 'Maldives', 'Luxembourg', 'Macau', 'Bhutan']"
Svalbard and Jan Mayen,Longyearbyen,Europe,2562,🇸🇯,hard,"['Norfolk Island', 'British Indian Ocean Territory', 'Christmas Island', 'Niue', 'Falkland Islands']"
Sweden,Stockholm,Europe,10610485,🇸🇪,medium,"['Greece', 'Tajikistan', 'Azerbaijan', 'Czechia', 'United Arab Emirates']"
Switzerland,Bern,Europe,9154242,🇨🇭,medium,"['Belarus', 'Austria', 'Hungary', 'Honduras', 'Togo']"
Syria,Damascus,Asia,26019711,🇸🇾,easy,"['North Korea', 'Niger', 'Mali', 'Australia', 'Taiwan']"
São Tomé and Príncipe,São Tomé,Africa,220372,🇸🇹,hard,"['Mayotte', 'Samoa', 'Abkhazia', 'French Guiana', 'Saint Lucia']"
Taiwan,Taipei,Asia,23299132,🇹🇼,easy,"['Burkina Faso', 'Sri Lanka', 'Mali', 'Malawi', 'North Korea']"
Tajikistan,Dushanbe,Asia,10786734,🇹🇯,medium,"['Greece', 'Czechia', 'Sweden', 'United Arab Emirates', 'Azerbaijan']"
Tanzania,Dodoma,Africa,67462121,🇹🇿,easy,"['United Kingdom', 'Thailand', 'France', 'South Africa', 'Italy']"
Thailand,Bangkok,Asia,65975198,🇹🇭,easy,"['United Kingdom', 'Tanzania', 'South Africa', 'France', 'Italy']"
Timor-Leste,Dili,Asia,1434991,🇹🇱,medium,"['Bahrain', 'Estonia', 'Trinidad and Tobago', 'Kosovo', 'Eswatini']"
Togo,Lomé,Africa,9583381,🇹🇬,medium,"['Honduras', 'Hungary', 'Cuba', 'Austria', 'Switzerland']"
Tokelau,Fakaofo,Oceania,1411,🇹🇰,hard,"['Antarctica', 'Niue', 'Christmas Island', 'Vatican City', 'British Indian Ocean Territory']"
Tonga,Nuku'alofa,Oceania,100179,🇹🇴,hard,"['Jersey', 'Antigua and Barbuda', 'Aruba', 'Cayman Islands', 'Saint Vincent and the Grenadines']"
Trinidad and Tobago,Port of Spain,Americas,1512779,🇹🇹,medium,"['Bahrain', 'Kosovo', 'Timor-Leste', 'Estonia', 'Eswatini']"
Tunisia,Tunis,Africa,11972169,🇹🇳,easy,"['Belgium', 'Papua New Guinea', 'Dominican Republic', 'Jordan', 'Haiti']"
Turkey,Ankara,Asia,86092168,🇹🇷,easy,"['Germany', 'Iran', 'Vietnam', 'France', 'Tanzania']"
Turkmenistan,Ashgabat,Asia,7057841,🇹🇲,medium,"['Ireland', 'Libya', 'Laos', 'Kyrgyzstan', 'Nicaragua']"
Turks and Caicos Islands,Cockburn Town,Americas,50828,🇹🇨,hard,"['Saint Helena, Ascension and Tristan da Cunha', 'Saint Kitts and Nevis', 'Northern Mariana Islands', 'Faroe Islands', 'South Ossetia']"
Tuvalu,Funafuti,Oceania,10643,🇹🇻,hard,"['Wallis and Futuna', 'Nauru', 'Cook Islands', 'Saint Pierre and Miquelon', 'Anguilla']"
Uganda,Kampala,Africa,45905417,🇺🇬,easy,"['Iraq', 'Argentina', 'Algeria', 'Spain', 'Canada']"
Ukraine,Kyiv,Europe,32283000,🇺🇦,easy,"['Madagascar', 'Yemen', 'Venezuela', 'Ivory Coast', 'Nepal']"
United Arab Emirates,Abu Dhabi,Asia,11027129,🇦🇪,medium,"['Czechia', 'Tajikistan', 'Greece', 'Bolivia', 'Portugal']"
United Kingdom,London,Europe,66912637,🇬🇧,easy,"['Tanzania', 'Thailand', 'France', 'South Africa', 'Italy']"
United States,"Washington, D.C.",Americas,341784857,🇺🇸,easy,"['Indonesia', 'Nigeria', 'Pakistan', 'Brazil', 'Bangladesh']"
United States Minor Outlying Islands,,Americas,300,🇺🇲,hard,"['French Southern and Antarctic Lands', 'Pitcairn Islands', 'South Georgia', 'Cocos (Keeling) Islands', 'Bouvet Island']"
United States Virgin Islands,Charlotte Amalie,Americas,87146,🇻🇮,hard,"['Andorra', 'Isle of Man', 'Cayman Islands', 'Micronesia', 'Tonga']"
Uruguay,Montevideo,Americas,3499451,🇺🇾,medium,"['Eritrea', 'Bosnia and Herzegovina', 'Mongolia', 'Georgia', 'Qatar']"
Uzbekistan,Tashkent,Asia,38236704,🇺🇿,easy,"['Poland', 'Morocco', 'Angola', 'Ghana', 'Afghanistan']"
Vanuatu,Port Vila,Oceania,335908,🇻🇺,hard,"['Martinique', 'Northern Cyprus', 'Barbados', 'French Polynesia', 'Iceland']"
Vatican City,Vatican City,Europe,882,🇻🇦,hard,"['Cocos (Keeling) Islands', 'Antarctica', 'French Southern and Antarctic Lands', 'Tokelau', 'United States Minor Outlying Islands']"
Venezuela,Caracas,Americas,31800000,🇻🇪,easy,"['Madagascar', 'Ivory Coast', 'Ukraine', 'Nepal', 'Cameroon']"
Vietnam,Hanoi,Asia,102300000,🇻🇳,easy,"['Egypt', 'Iran', 'Philippines', 'Turkey', 'Germany']"
Wallis and Futuna,Mata-Utu,Oceania,11151,🇼🇫,hard,"['Tuvalu', 'Nauru', 'Cook Islands', 'Anguilla', 'Saint Pierre and Miquelon']"
Western Sahara,El Aaiún,Africa,510713,🇪🇭,hard,"['Malta', 'Cabo Verde', 'Brunei', 'Maldives', 'Guadeloupe']"
Yemen,Sana'a,Asia,32684503,🇾🇪,easy,"['Ukraine', 'Madagascar', 'Venezuela', 'Saudi Arabia', 'Ivory Coast']"
Zambia,Lusaka,Africa,20216029,🇿🇲,easy,"['Kazakhstan', 'Chile', 'Somalia', 'Malawi', 'Chad']"
Zimbabwe,Harare,Africa,17166852,🇿🇼,easy,"['Ecuador', 'Guinea', 'Cambodia', 'Netherlands', 'Guatemala']"
Åland Islands,Mariehamn,Europe,30654,🇦🇽,hard,"['Caribbean Netherlands', 'San Marino', 'Marshall Islands', 'Gibraltar', 'British Virgin Islands']"
